Title
Tim McGraw
Picture to Burn
Teardrops On My Guitar
A Place In This World
Cold as You
The Outside
Tied Together with a Smile
Stay Beautiful
Should've Said No
Mary's Song (Oh My My My)
Our Song
I'm Only Me When I'm With You
Invisible
A Perfectly Good Heart
Beautiful Eyes
I Heart ?
Fearless (Taylor's Version)
Fifteen (Taylor's Version)
Love Story (Taylor's Version)
Hey Stephen (Taylor's Version)
White Horse (Taylor's Version)
You Belong With Me (Taylor's Version)
Breathe (Taylor's Version)
Tell Me Why (Taylor's Version)
You're Not Sorry (Taylor's Version)
The Way I Loved You (Taylor's Version)
Forever & Always (Taylor's Version)
The Best Day (Taylor's Version)
Change (Taylor's Version)
Jump Then Fall (Taylor's Version)
Untouchable (Taylor's Version)
Come In With The Rain (Taylor's Version)
Superstar (Taylor's Version)
The Other Side of the Door (Taylor's Version)
Today Was a Fairytale (Taylor's Version)
You All Over Me (Taylor's Version) [From the Vault]
Mr. Perfectly Fine (Taylor's Version) [From the Vault]
We Were Happy (Taylor's Version) [From the Vault]
That's When (Taylor's Version) [From the Vault]
Don't You (Taylor's Version) [From the Vault]
Bye Bye Baby (Taylor's Version) [From the Vault]
Mine (Taylor's Version)
Sparks Fly (Taylor's Version)
Back To December (Taylor's Version)
Speak Now (Taylor's Version)
Dear John (Taylor's Version)
Mean (Taylor's Version)
The Story Of Us (Taylor's Version)
Never Grow Up (Taylor's Version)
Enchanted (Taylor's Version)
Better Than Revenge (Taylor's Version)
Innocent (Taylor's Version)
Haunted (Taylor's Version)
Last Kiss (Taylor's Version)
Long Live (Taylor's Version)
Ours (Taylor's Version)
Superman (Taylor's Version)
Electric Touch (Taylor's Version) [From The Vault]
When Emma Falls in Love (Taylor's Version) [From The Vault]
I Can See You (Taylor's Version) [From The Vault]
Castles Crumbling (Taylor's Version) [From The Vault]
Foolish One (Taylor's Version) [From The Vault]
Timeless (Taylor's Version) [From The Vault]
State of Grace (Taylor's Version)
Red (Taylor's Version)
Treacherous (Taylor's Version)
I Knew You Were Trouble (Taylor's Version)
All Too Well (Taylor's Version)
22 (Taylor's Version)
I Almost Do (Taylor's Version)
We Are Never Ever Getting Back Together (Taylor's Version)
Stay Stay Stay (Taylor's Version)
The Last Time (Taylor's Version)
Holy Ground (Taylor's Version)
Sad Beautiful Tragic (Taylor's Version)
The Lucky One (Taylor's Version)
Everything Has Changed (Taylor's Version)
Starlight (Taylor's Version)
Begin Again (Taylor's Version)
The Moment I Knew (Taylor's Version)
Come Back...Be Here (Taylor's Version)
Girl At Home (Taylor's Version)
Ronan (Taylor's Version)
Better Man (Taylor's Version) [From The Vault]
Nothing New (Taylor's Version) [From The Vault]
Babe (Taylor's Version) [From The Vault]
Message In A Bottle (Taylor's Version) [From The Vault]
I Bet You Think About Me (Taylor's Version) [From the Vault]
Forever Winter (Taylor's Version) [From The Vault]
Run (Taylor's Version) [From The Vault]
The Very First Night (Taylor's Version) [From The Vault]
All Too Well (10 Minute Version) (Taylor's Version) [From The Vault]
Welcome To New York (Taylor's Version)
Blank Space (Taylor's Version)
Style (Taylor's Version)
Out Of The Woods (Taylor's Version)
All You Had To Do Was Stay (Taylor's Version)
Shake It Off (Taylor's Version)
I Wish You Would (Taylor's Version)
Bad Blood (Taylor's Version)
Wildest Dreams (Taylor's Version)
How You Get The Girl (Taylor's Version)
This Love (Taylor's Version)
I Know Places (Taylor's Version)
Clean (Taylor's Version)
Wonderland (Taylor's Version)
You Are In Love (Taylor's Version)
New Romantics (Taylor's Version)
"""Slut!"" (Taylor's Version) [From The Vault]"
Say Don't Go (Taylor's Version) [From The Vault]
Now That We Don't Talk (Taylor's Version) [From The Vault]
Suburban Legends (Taylor's Version) [From The Vault]
Is It Over Now? (Taylor's Version) [From The Vault]
Sweeter Than Fiction (Taylor's Version)
...Ready for It?
End Game
I Did Something Bad
Don't Blame Me
Delicate
Look What You Made Me Do
So It Goes...
Gorgeous
Getaway Car
King of My Heart
Dancing With Our Hands Tied
Dress
This Is Why We Can't Have Nice Things
Call It What You Want
New Year's Day
I Forgot That You Existed
Cruel Summer
Lover
The Man
The Archer
I Think He Knows
Miss Americana & The Heartbreak Prince
Paper Rings
Cornelia Street
Death By A Thousand Cuts
London Boy
Soon You'll Get Better
False God
You Need To Calm Down
Afterglow
ME!
It's Nice To Have A Friend
Daylight
All Of The Girls You Loved Before
the 1
cardigan
the last great american dynasty
exile
my tears ricochet
mirrorball
seven
august
this is me trying
illicit affairs
invisible string
mad woman
epiphany
betty
peace
hoax
the lakes
willow
champagne problems
gold rush
'tis the damn season
tolerate it
"no body, no crime"
happiness
dorothea
coney island
ivy
cowboy like me
long story short
marjorie
closure
evermore
right where you left me
it's time to go
Lavender Haze
Maroon
Anti-Hero
Snow On The Beach
"You're On Your Own, Kid"
Midnight Rain
Question...?
Vigilante Shit
Bejeweled
Labyrinth
Karma
Sweet Nothing
Mastermind
Hits Different
The Great War
Bigger Than The Whole Sky
High Infidelity
"Would've, Could've, Should've"
Dear Reader
You're Losing Me (From The Vault)
Karma (Remix)
Fortnight
The Tortured Poets Department
My Boy Only Breaks His Favorite Toys
Down Bad
